parent_name,child_name,child_template_name
Equipment,Detector,Detector
Equipment,Penstock,Penstock
Equipment,MaceratorPump,Macerator Pump
Equipment,PSU,PSU
Equipment,OCUValuerFanCommon,OCU Valuer Fan Common
Equipment,OCUValuerFan,OCU Valuer Fan
Equipment,RMSOCUTSETank,RMS OCUTSE Tank
Equipment,RMSSumpPumpCommon,RMS Sump Pump Common
Equipment,OCURCPCommon,OCURCP Common
Equipment,OCURCP,OCURCP
Equipment,OCUQM,OCUQM
Equipment,OCUPump,OCU Pump
Equipment,OCUIntermediate,OCU Intermediate
Equipment,RMSDosingPumpCommon,RMSDosingPumpCommon
Equipment,OCUBTF,OCUBTF
Equipment,OCUACF,OCUACF
Equipment,OCUAFN,OCUAFN
Equipment,OCUAFCommon,OCUAF Common
Equipment,OCUAF,OCUAF
Equipment,OCUMvaluens,OCU Mvaluens
Equipment,RMSFireAlarmSystem,RMS Fire Alarm System
Equipment,EVC,Electronic Volume Corrector
Equipment,GasDetectors,Gas Detectors
Equipment,GasPanelSwitch,Gas Panel Switch
Equipment,IsolatorModule,Isolator Module
Equipment,GeneralExtractFan,General Extract Fan
Equipment,GarbageExtractFan,Garbage Extract Fan
Equipment,CorridorMakeupFan,Corridor Extract Fan
Equipment,CorridorExtractFan,Corridor Extract Fan
Equipment,LifeAndSafety,LIFE & SAFETY SYSTEMS
Equipment,HVAC,HVAC SYSTEMS
Equipment,ELVSYSTEMS,ELV SYSTEMS
Equipment,Electrical,ELECTRICAL SYSTEMS
Equipment,Plumbing,PLUMBING SYSTEMS
Equipment,Mechanical,MECHANICAL SYSTEMS
Mechanical,DoorContact,Door Contact
Mechanical,HydrogenSensorPanel,Hydrogen Sensor Panel
Mechanical,HydrogenProductionPlant,Hydrogen Production Plant
Mechanical,HydrogenProductionStorageEquipment,Hydrogen Production Storage Equipment
Mechanical,ColdRoomUnit,Cold Room Unit
Mechanical,CitricAcidDosingTank,Citric Acid Dosing Tank
Mechanical,CitricAcidDosingPump,Citric Acid Dosing Pump
Mechanical,CitricAcidDosingMixer,Citric Acid Dosing Mixer
Mechanical,BeltFilterPress,Belt Filter Press
Mechanical,BalancingTankPump,Balancing Tank Pump
Mechanical,BalancingTankAirBlower,Balancing Tank Air Blower
Mechanical,BalancingTank,Balancing Tank
Mechanical,BFPPolymerDosingPump,BFP Polymer Dosing Pump
Mechanical,AirCompressor,Air Compressor
Mechanical,AerationTankMixer,Aeration Tank Mixer
Mechanical,AerationAirBlower,Aeration Air Blower
Mechanical,MotorVibrationSensor,Motor Vibration Sensor
Mechanical,StaircaseVentilationFan,Staircase Ventilation Fan
Mechanical,RMSAirBlower,RMS Air Blower
Mechanical,RMSExtractFan,RMS Extract Fan
Mechanical,RMSSupplyFan,RMS Supply Fan
Mechanical,CPTF,Car Park Transfer Fan
Mechanical,BMU,BMU
Mechanical,Escalator,Escalator
Mechanical,WasteManagement,Waste Management
Mechanical,VerticalHorizontalTransport,Vertical/Horizontal Transport
VerticalHorizontalTransport,Lift,Lift
VerticalHorizontalTransport,LiftCommon,Lift Common
WasteManagement,GCEFCommon,GCEF Common
WasteManagement,GarbageSanitationSystem,Garbage Sanitation System
WasteManagement,DissolvedOxygenAnalyzer,Dissolved OxygenAnalyzer
WasteManagement,TSETank,TSE Tank
WasteManagement,TSEPump,TSE Pump
WasteManagement,SludgeHoldingTank,Sludge Holding Tank
WasteManagement,SludgeDewateringFeedPump,Sludge Dewatering Feed Pump
WasteManagement,ServiceWaterPump,Service Water Pump
WasteManagement,ScrubberFan,Scrubber Fan
WasteManagement,RASSASPump,RAS SAS Pump
WasteManagement,PressureIndicatorTransmitter,Pressure Indicator Transmitter
WasteManagement,PolymerInjectionUnitPowderFeeder,Polymer Injection Unit Powder Feeder
WasteManagement,PolymerInjectionUnitMixer,Polymer Injection Unit Mixer
WasteManagement,PolymerInjectionUnitLocalControlPanel,Polymer Injection Unit Local Control Panel
WasteManagement,PolymerInjectionUnitDosingPump,Polymer Injection Unit Dosing Pump
WasteManagement,PolymerInjectionUnit,Polymer Injection Unit
WasteManagement,PermeatePump,Permeate Pump
WasteManagement,PHAnalyzer,PH Analyzer
WasteManagement,OdourFan,Odour Fan
WasteManagement,MBRTankAirBlower,MBR Tank Air Blower
WasteManagement,MBRTank,MBR Tank
WasteManagement,MBRBackwashTank,MBR Backwash Tank
WasteManagement,GCEF,Garbage Chute Extract Fan
WasteManagement,GCC,Garbage Chute Compactor
WasteManagement,GarbageChutePanel,Garbage Chute Panel
WasteManagement,DrumScreen,Drum Screen
WasteManagement,ElectromagneticFlowTransmitter,Electromagnetic Flow Transmitter
WasteManagement,H2SAnalyzer,H2S Analyzer
WasteManagement,HypoChloriteDosingPump,Hypo Chlorite Dosing Pump
WasteManagement,HypoChloriteDosingPumpMC,Hypo Chlorite Dosing Pump MC
WasteManagement,HypoChloriteDosingTank,Hypo Chlorite Dosing Tank
WasteManagement,HypoChloriteDosingTankMC,Hypo Chlorite Dosing Tank MC
WasteManagement,LevelIndicatorTransmitter,Level Indicator Transmitter
WasteManagement,LiftingStationPump,Lifting Station Pump
WasteManagement,LiftingStationTank,Lifting Station Tank
WasteManagement,MBRBackwashPump,MBR Backwash Pump
Plumbing,SwimmingPoolUnderWaterLight,Swimming Pool Under Water Light
Plumbing,RMSCulvert,RMS Culvert
Plumbing,StormWaterTank,Storm Water Tank
Plumbing,SPHeater,SP Heater
Plumbing,SPUVFilter,SP UV Filter
Plumbing,WaterSoftner,Water Softner
Plumbing,UVSterlizer,UV Sterlizer
Plumbing,SoftWaterTank,Soft Water Tank
Plumbing,MultimediaFilter,Multimedia Filter
Plumbing,CondensorTank,Condensor Tank
Plumbing,CarbonFilters,Carbon Filters
Plumbing,Boiler,Boiler
Plumbing,SwimmingPoolChlorineController,Swimming Pool Chlorine Controller
Plumbing,SwimmingPoolHeatCool,Swimming Pool Heat Cool
Plumbing,SwimmingPoolElectricStarter,Swimming Pool Electric Starter
Plumbing,StormTank,Storm Tank
Plumbing,RMSWaterQualityMeter,RMS Water Quality Meter
Plumbing,SPSplashPlayUnit,SP Splash Play Unit
Plumbing,SPHeatCoolUnit,SP Heat Cool Unit
Plumbing,SPBackWashUnit,SP Back Wash Unit
Plumbing,RMSStormScreenPenstockCommon,RMS Storm Screen Penstock Common
Plumbing,RMSStormScreenPenstock,RMS Storm Screen Penstock
Plumbing,SwimmingPoolUVFilter,Swimming Pool UV Filter
Plumbing,SwimmingPoolTank,Swimming Pool Tank
Plumbing,SwimmingPoolHeater,Swimming Pool Heater
Plumbing,GreaseTrapSystem,Grease Trap System
Plumbing,RMSFlowTransmitter,RMS Flow Transmitter
Plumbing,RMSPressureTransmitter,RMS Pressure Transmitter
Plumbing,RMSSewageScreenPenstockCommon,RMS Sewage Screen Penstock Common
Plumbing,RMSLevelTransmitter,RMS Level Transmitter
Plumbing,RMSOdourPump,RMS Odour Pump
Plumbing,RMSSewageScreeningCompactor,RMS Sewage Screening Compactor
Plumbing,RMSSewageScreenConveyor,RMS Sewage Screen Conveyor
Plumbing,CompactInletHeadworksControlPanel,Compact Inlet Headworks Control Panel
Plumbing,CompactInletHeadworks,Compact Inlet Headworks
Plumbing,SPHeatPump,Swimming Pool Heat Pump
Plumbing,ShowerPump,Shower Pump
Plumbing,FilterationPumpCommon,Filteration Pump Common
Plumbing,WaterFilterationSystem,Water Filteration System
Plumbing,FountainPump,Fountain Pump
Plumbing,HotWaterCirculationPump,Hot Water Circulation Pump
Plumbing,SolarWaterHeatSystem,Solar Water Heat System
Plumbing,GRPWaterTank,GRP Water Tank
Plumbing,SurgeVessel,Surge Vessel
Plumbing,FountainSystem,Fountain System
Plumbing,RMSSewageScreenPenstock,RMS Sewage Screen Penstock
Plumbing,RMSBoosterPump,RMS Booster Pump
Plumbing,WaterHeater,Water Heater
Plumbing,HWSecondaryPump,Hot Water Secondary Pump
Plumbing,HWPrimaryPump,Hot Water Primary Pump
Plumbing,DWHEX,Domestic Water Heat Exchanger
Plumbing,DosingPump,Dosing Pump
Plumbing,RawWaterPump,Raw Water Pump
Plumbing,BackwashPump,Backwash Pump
Plumbing,DomesticWaterCoolingPlant,Domestic Water Cooling Plant
Plumbing,RMSIrrigationJockeyPump,RMS Irrigation Jockey Pump
Plumbing,DrainagePumpCommon,Drainage Pump Common
Plumbing,DrainagePump,Drainage Pump
Plumbing,RMSSewageScrapper,RMS Sewage Scrapper
Plumbing,RMSSewageSubmersibleMixer,RMS Sewage Submersible Mixer
Plumbing,RMSSewageSurfaceAerator,RMS Sewage Surface Aerator
Plumbing,RMSSewageAutoBarScreen,RMS Sewage Auto BarScreen
Plumbing,RMSValves,RMSValves
Plumbing,RMSMOV,RMS MOV
Plumbing,RMSIrrigationPenstockValves,RMS Irrigation Penstock Valves
Plumbing,RMSTransferPump,RMS Transfer Pump
Plumbing,RMSPressurePump,RMS Pressure Pump
Plumbing,RMSDosingMixer,RMSDosingMixer
