id,name,parent_name,status,template_name,analytics_profile_id,client_id
1,Electrical,Equipment,ACTIVE,ELECTRICAL SYSTEMS,,nectarit
2,POD,Equipment,ACTIVE,POD,,nectarit
3,ControlSystems,Equipment,ACTIVE,Control Systems,,nectarit
4,WindMonitorSystem,Equipment,ACTIVE,Wind Monitor System,,nectarit
5,Mechanical,Equipment,ACTIVE,MECHANICAL SYSTEMS,,nectarit
6,LifeAndSafety,Equipment,ACTIVE,LIFE & SAFETY SYSTEMS,,nectarit
7,Plumbing,Equipment,ACTIVE,PLUMBING SYSTEMS,,nectarit
8,HVAC,Equipment,ACTIVE,HVAC SYSTEMS,,nectarit
9,PhotovoltaicLightPowerMeter,Electrical,ACTIVE,Photovoltaic Light Power Meter,,nectarit
10,VariableFrequencyDrive,Electrical,ACTIVE,Variable Frequency Drive,,nectarit
11,PowerFactorCorrectionUnit,Electrical,ACTIVE,Power Factor Correction Unit,,nectarit
12,VirtualMachine,Electrical,ACTIVE,Virtual Machine,,nectarit
13,Metering,Electrical,ACTIVE,Metering,,nectarit
14,EmergencyPower,Electrical,ACTIVE,Emergency Power,,nectarit
15,CleanAgentSystem,Electrical,ACTIVE,Clean Agent System,,nectarit
16,ElectricalPanels,Electrical,ACTIVE,Electrical Panels,,nectarit
17,PhotovoltaicSystem,Electrical,ACTIVE,Photovoltaic System,,nectarit
18,DistributionBoards,Electrical,ACTIVE,Distribution Boards,,nectarit
19,Lighting,Electrical,ACTIVE,Lighting,,nectarit
20,PhotovoltaicLightPower,Electrical,ACTIVE,Photovoltaic Light Power,,nectarit
21,SMDBPVMeter,Metering,ACTIVE,SMDB PV Meter,,nectarit
22,EmergencySMDBMeter,Metering,ACTIVE,Emergency SMDBMeter,,nectarit
23,EmergencySMDB,Metering,ACTIVE,Emergency SMDB,,nectarit
24,EmergencyMCCMeter,Metering,ACTIVE,Emergency MCC Meter,,nectarit
25,WaterSubMeter,Metering,ACTIVE,Water Sub Meter,,nectarit
26,BTUSubMeter,Metering,ACTIVE,BTU Sub Meter,,nectarit
27,GeneratorMeter,Metering,ACTIVE,Generator Meter,,nectarit
28,BTUMeter,Metering,ACTIVE,BTU Meter,,nectarit
29,LVPSubMeter,Metering,ACTIVE,LV Panel Sub Meter,,nectarit
30,LVPMeter,Metering,ACTIVE,LV Panel Meter,,nectarit
31,WaterMeter,Metering,ACTIVE,Water Meter,,nectarit
32,RenewableMeter,Metering,ACTIVE,Renewable Meter,,nectarit
33,LVPanel,Metering,ACTIVE,LV Panel,,nectarit
34,DBMeter,Metering,ACTIVE,DB Meter,,nectarit
35,MCCPMeter,Metering,ACTIVE,MCCP Meter,,nectarit
36,SMDBMeter,Metering,ACTIVE,SMDB Meter,,nectarit
37,SolarEnergySubMeter,RenewableMeter,ACTIVE,Solar Energy Sub Meter,,nectarit
38,SolarEnergyMeter,RenewableMeter,ACTIVE,Solar Energy Meter,,nectarit
39,UPS,EmergencyPower,ACTIVE,UPS,,nectarit
40,Generator,EmergencyPower,ACTIVE,Generator,,nectarit
41,CBS,EmergencyPower,ACTIVE,Central Battery System,,nectarit
42,MCCPanel,ElectricalPanels,ACTIVE,MCC Panel,,nectarit
43,AccessControlSystemCommon,ElectricalPanels,ACTIVE,Access Control System Common,,nectarit
44,ATSPanel,ElectricalPanels,ACTIVE,ATS Panel,,nectarit
45,EMCCPanel,ElectricalPanels,ACTIVE,EMCC Panel,,nectarit
46,HMIPanel,ElectricalPanels,ACTIVE,HMI Panel,,nectarit
47,LeakDetectionPanel,ElectricalPanels,ACTIVE,Leak Detection Panel,,nectarit
48,CapacitorBank,ElectricalPanels,ACTIVE,Capacitor Bank,,nectarit
49,ACSPanel,ElectricalPanels,ACTIVE,ACS Panel,,nectarit
50,ACBPanel,ElectricalPanels,ACTIVE,ACB Panel,,nectarit
51,SolarPanel,PhotovoltaicSystem,ACTIVE,Solar Panel,,nectarit
