parent_name,child_name,child_template_name,child_displayName
DefaultUser,ApplicationUser,Application User,Application User
DefaultTenant,Billable Tenants,BillableTenants,Billable Tenants
DefaultTenant,Customer,Customer,clientName
DefaultTenant,Community,Community,clientName
DefaultMarker,UserPreference,User Preference,identifier
DefaultMarker,SystemGroup,System Group,name
DefaultMarker,EquipmentGroup,Equipment Group,displayName
DefaultMarker,Document,Document,name
DefaultMarker,ContactPhone,Contact Phone,number
DefaultMarker,ContactPerson,Contact Person,name
DefaultMarker,ContactEmail,Contact Email,emailId
DefaultMarker,ContactAddress,Contact Address,address
DefaultMarker,ClientWorkingTime,Client Working Time,ClientWorkingTime
DefaultMarker,Device,Device,deviceName
DefaultMarker,Point,Point,deviceName
DefaultMarker,AssetSettings,Asset Settings,identifier
DefaultMarker,Asset,Asset,name
DefaultMarker,Site,Site,name
DefaultMarker,ResetPassword,Reset Password,userName
MainTag,Tag,Tag,identifier
MainTag,DocumentCategory,Document Category,name
MainTag,Space,Spaces,name
MainTag,SiteGroup,Site Group,name
ApplicationUser,Operator,Operator,lastName
ApplicationUser,Operator,Operator,lastName
ApplicationUser,Mechanic,Mechanic,employeeId
ApplicationUser,Mechanic,Mechanic,employeeId
ApplicationUser,Manager,Manager,lastName
ApplicationUser,Manager,Manager,lastName
SiteGroup,SubCommunity,Sub Community,name
SiteGroup,SubCommunity,Sub Community,name
Site,ResidentialTower,Residential Tower,name
Site,ResidentialTower,Residential Tower,name
Site,OpenSpace,Open Space,Open Space
Site,OpenSpace,Open Space,Open Space
Site,CommercialTower,Commercial Tower,name
Site,CommercialTower,Commercial Tower,name
Asset,Equipment,Equipment,name
Asset,Equipment,Equipment,name
Equipment,Electrical,ELECTRICAL SYSTEMS,Electrical
Equipment,Electrical,ELECTRICAL SYSTEMS,Electrical
Equipment,Electrical,ELECTRICAL SYSTEMS,Electrical
Equipment,POD,POD,POD
Equipment,POD,POD,POD
Equipment,POD,POD,POD
Equipment,ControlSystems,Control Systems,displayName
Equipment,ControlSystems,Control Systems,displayName
Equipment,ControlSystems,Control Systems,displayName
Equipment,WindMonitorSystem,Wind Monitor System,identifier
Equipment,WindMonitorSystem,Wind Monitor System,identifier
Equipment,WindMonitorSystem,Wind Monitor System,identifier
Equipment,Mechanical,MECHANICAL SYSTEMS,name
Equipment,Mechanical,MECHANICAL SYSTEMS,name
Equipment,Mechanical,MECHANICAL SYSTEMS,name
Equipment,LifeAndSafety,LIFE & SAFETY SYSTEMS,Life And Safety
Equipment,LifeAndSafety,LIFE & SAFETY SYSTEMS,Life And Safety
Equipment,LifeAndSafety,LIFE & SAFETY SYSTEMS,Life And Safety
Equipment,Plumbing,PLUMBING SYSTEMS,Plumbing
Equipment,Plumbing,PLUMBING SYSTEMS,Plumbing
Equipment,Plumbing,PLUMBING SYSTEMS,Plumbing
Equipment,HVAC,HVAC SYSTEMS,Miscellaneous
Equipment,HVAC,HVAC SYSTEMS,Miscellaneous
Equipment,HVAC,HVAC SYSTEMS,Miscellaneous
Electrical,PhotovoltaicLightPowerMeter,Photovoltaic Light Power Meter,Photovoltaic Light Power Meter
Electrical,PhotovoltaicLightPowerMeter,Photovoltaic Light Power Meter,Photovoltaic Light Power Meter
Electrical,PhotovoltaicLightPowerMeter,Photovoltaic Light Power Meter,Photovoltaic Light Power Meter
Electrical,PhotovoltaicLightPowerMeter,Photovoltaic Light Power Meter,Photovoltaic Light Power Meter
Electrical,VariableFrequencyDrive,Variable Frequency Drive,Variable Frequency Drive
Electrical,VariableFrequencyDrive,Variable Frequency Drive,Variable Frequency Drive
Electrical,VariableFrequencyDrive,Variable Frequency Drive,Variable Frequency Drive
Electrical,VariableFrequencyDrive,Variable Frequency Drive,Variable Frequency Drive
Electrical,PowerFactorCorrectionUnit,Power Factor Correction Unit,Power Factor Correction Unit
Electrical,PowerFactorCorrectionUnit,Power Factor Correction Unit,Power Factor Correction Unit
Electrical,PowerFactorCorrectionUnit,Power Factor Correction Unit,Power Factor Correction Unit
Electrical,PowerFactorCorrectionUnit,Power Factor Correction Unit,Power Factor Correction Unit
Electrical,VirtualMachine,Virtual Machine,Virtual Machine
Electrical,VirtualMachine,Virtual Machine,Virtual Machine
Electrical,VirtualMachine,Virtual Machine,Virtual Machine
Electrical,VirtualMachine,Virtual Machine,Virtual Machine
Electrical,Metering,Metering,name
Electrical,Metering,Metering,name
Electrical,Metering,Metering,name
Electrical,Metering,Metering,name
Electrical,EmergencyPower,Emergency Power,name
Electrical,EmergencyPower,Emergency Power,name
Electrical,EmergencyPower,Emergency Power,name
Electrical,EmergencyPower,Emergency Power,name
Electrical,CleanAgentSystem,Clean Agent System,Clean Agent System
Electrical,CleanAgentSystem,Clean Agent System,Clean Agent System
Electrical,CleanAgentSystem,Clean Agent System,Clean Agent System
Electrical,CleanAgentSystem,Clean Agent System,Clean Agent System
Electrical,ElectricalPanels,Electrical Panels,name
Electrical,ElectricalPanels,Electrical Panels,name
Electrical,ElectricalPanels,Electrical Panels,name
Electrical,ElectricalPanels,Electrical Panels,name
Electrical,PhotovoltaicSystem,Photovoltaic System,name
Electrical,PhotovoltaicSystem,Photovoltaic System,name
Electrical,PhotovoltaicSystem,Photovoltaic System,name
Electrical,PhotovoltaicSystem,Photovoltaic System,name
Electrical,DistributionBoards,Distribution Boards,name
Electrical,DistributionBoards,Distribution Boards,name
Electrical,DistributionBoards,Distribution Boards,name
Electrical,DistributionBoards,Distribution Boards,name
Electrical,Lighting,Lighting,name
Electrical,Lighting,Lighting,name
Electrical,Lighting,Lighting,name
Electrical,Lighting,Lighting,name
Electrical,PhotovoltaicLightPower,Photovoltaic Light Power,Photovoltaic Light Power
Electrical,PhotovoltaicLightPower,Photovoltaic Light Power,Photovoltaic Light Power
Electrical,PhotovoltaicLightPower,Photovoltaic Light Power,Photovoltaic Light Power
Electrical,PhotovoltaicLightPower,Photovoltaic Light Power,Photovoltaic Light Power
Space,CommonArea,Common Area,name
Space,CommonArea,Common Area,name
Space,Apartment,Apartment,Apartment
Space,Apartment,Apartment,Apartment
Space,Floor,Floor,name
Space,Floor,Floor,name
Space,Room,Room,name
Space,Room,Room,name
WaterTanks,CalorifierTank,Calorifier Tank,Calorifier Tank
WaterTanks,CalorifierTank,Calorifier Tank,Calorifier Tank
WaterTanks,CalorifierTank,Calorifier Tank,Calorifier Tank
WaterTanks,CalorifierTank,Calorifier Tank,Calorifier Tank
WaterTanks,CalorifierTank,Calorifier Tank,Calorifier Tank
WaterTanks,PRV,PIR Activated Motorized Valve,Pressure Reducing Valve
WaterTanks,PRV,PIR Activated Motorized Valve,Pressure Reducing Valve
WaterTanks,PRV,PIR Activated Motorized Valve,Pressure Reducing Valve
WaterTanks,PRV,PIR Activated Motorized Valve,Pressure Reducing Valve
WaterTanks,PRV,PIR Activated Motorized Valve,Pressure Reducing Valve
WaterTanks,IrrigationTank,Irrigation Tank,name
WaterTanks,IrrigationTank,Irrigation Tank,name
WaterTanks,IrrigationTank,Irrigation Tank,name
WaterTanks,IrrigationTank,Irrigation Tank,name
WaterTanks,IrrigationTank,Irrigation Tank,name
WaterTanks,StormWaterTank,Storm Water Tank,name
WaterTanks,StormWaterTank,Storm Water Tank,name
WaterTanks,StormWaterTank,Storm Water Tank,name
WaterTanks,StormWaterTank,Storm Water Tank,name
WaterTanks,StormWaterTank,Storm Water Tank,name
WaterTanks,BrackishWaterProcessSystem,Brackish Water Process System,name
WaterTanks,BrackishWaterProcessSystem,Brackish Water Process System,name
WaterTanks,BrackishWaterProcessSystem,Brackish Water Process System,name
WaterTanks,BrackishWaterProcessSystem,Brackish Water Process System,name
WaterTanks,BrackishWaterProcessSystem,Brackish Water Process System,name
WaterTanks,BrackishWaterTank,Brackish Water Tank,Brackish Water Tank
WaterTanks,BrackishWaterTank,Brackish Water Tank,Brackish Water Tank
WaterTanks,BrackishWaterTank,Brackish Water Tank,Brackish Water Tank
WaterTanks,BrackishWaterTank,Brackish Water Tank,Brackish Water Tank
WaterTanks,BrackishWaterTank,Brackish Water Tank,Brackish Water Tank
LifeAndSafety,FireWaterTankCommon,Fire Water Tank Common,Fire Water Tank Common
LifeAndSafety,FireWaterTankCommon,Fire Water Tank Common,Fire Water Tank Common
LifeAndSafety,FireWaterTankCommon,Fire Water Tank Common,Fire Water Tank Common
LifeAndSafety,FireWaterTankCommon,Fire Water Tank Common,Fire Water Tank Common
LifeAndSafety,WetControlPanel,Wet Control Panel,Wet Control Panel
LifeAndSafety,WetControlPanel,Wet Control Panel,Wet Control Panel
LifeAndSafety,WetControlPanel,Wet Control Panel,Wet Control Panel
LifeAndSafety,WetControlPanel,Wet Control Panel,Wet Control Panel
LifeAndSafety,FirePumpSetCommon,Fire Pump Set Common,Fire Pump Set Common
LifeAndSafety,FirePumpSetCommon,Fire Pump Set Common,Fire Pump Set Common
LifeAndSafety,FirePumpSetCommon,Fire Pump Set Common,Fire Pump Set Common
LifeAndSafety,FirePumpSetCommon,Fire Pump Set Common,Fire Pump Set Common
LifeAndSafety,PublicAddressSystem,Public Address System,Public Address System
LifeAndSafety,PublicAddressSystem,Public Address System,Public Address System
LifeAndSafety,PublicAddressSystem,Public Address System,Public Address System
LifeAndSafety,PublicAddressSystem,Public Address System,Public Address System
LifeAndSafety,FireSuppressionSystem,Fire Suppression System,Fire Suppression System
LifeAndSafety,FireSuppressionSystem,Fire Suppression System,Fire Suppression System
LifeAndSafety,FireSuppressionSystem,Fire Suppression System,Fire Suppression System
LifeAndSafety,FireSuppressionSystem,Fire Suppression System,Fire Suppression System
LifeAndSafety,LPGGasNetwork,LPG Gas Network,LPGGasNetwork
LifeAndSafety,LPGGasNetwork,LPG Gas Network,LPGGasNetwork
LifeAndSafety,LPGGasNetwork,LPG Gas Network,LPGGasNetwork
LifeAndSafety,LPGGasNetwork,LPG Gas Network,LPGGasNetwork
LifeAndSafety,FireFighting,Fire Fighting,name
LifeAndSafety,FireFighting,Fire Fighting,name
LifeAndSafety,FireFighting,Fire Fighting,name
LifeAndSafety,FireFighting,Fire Fighting,name
LifeAndSafety,FireAlarm,Fire Alarm,name
LifeAndSafety,FireAlarm,Fire Alarm,name
LifeAndSafety,FireAlarm,Fire Alarm,name
LifeAndSafety,FireAlarm,Fire Alarm,name
LifeAndSafety,PreActionSystem,Pre Action System,Pre Action System
LifeAndSafety,PreActionSystem,Pre Action System,Pre Action System
LifeAndSafety,PreActionSystem,Pre Action System,Pre Action System
LifeAndSafety,PreActionSystem,Pre Action System,Pre Action System
LifeAndSafety,FireElectricalPump,Fire Electrical Pump,name
LifeAndSafety,FireElectricalPump,Fire Electrical Pump,name
LifeAndSafety,FireElectricalPump,Fire Electrical Pump,name
LifeAndSafety,FireElectricalPump,Fire Electrical Pump,name
LifeAndSafety,FireDieselPump,Fire Diesel Pump,name
LifeAndSafety,FireDieselPump,Fire Diesel Pump,name
LifeAndSafety,FireDieselPump,Fire Diesel Pump,name
LifeAndSafety,FireDieselPump,Fire Diesel Pump,name
LifeAndSafety,FireJockeyPump,Fire Jockey Pump,name
LifeAndSafety,FireJockeyPump,Fire Jockey Pump,name
LifeAndSafety,FireJockeyPump,Fire Jockey Pump,name
LifeAndSafety,FireJockeyPump,Fire Jockey Pump,name
LifeAndSafety,FireWaterTank,Fire Water Tank,name
LifeAndSafety,FireWaterTank,Fire Water Tank,name
LifeAndSafety,FireWaterTank,Fire Water Tank,name
LifeAndSafety,FireWaterTank,Fire Water Tank,name
LifeAndSafety,FoamSystem,Foam System,name
LifeAndSafety,FoamSystem,Foam System,name
LifeAndSafety,FoamSystem,Foam System,name
LifeAndSafety,FoamSystem,Foam System,name
LifeAndSafety,GasMonitoringSystem,Gas Monitoring System,name
LifeAndSafety,GasMonitoringSystem,Gas Monitoring System,name
LifeAndSafety,GasMonitoringSystem,Gas Monitoring System,name
LifeAndSafety,GasMonitoringSystem,Gas Monitoring System,name
LifeAndSafety,CentralMonitoringPanel,Central Monitoring Panel,name
LifeAndSafety,CentralMonitoringPanel,Central Monitoring Panel,name
LifeAndSafety,CentralMonitoringPanel,Central Monitoring Panel,name
LifeAndSafety,CentralMonitoringPanel,Central Monitoring Panel,name
Plumbing,CondensateWaterTank,Condensate Water Tank,Condensate Water Tank
Plumbing,CondensateWaterTank,Condensate Water Tank,Condensate Water Tank
Plumbing,CondensateWaterTank,Condensate Water Tank,Condensate Water Tank
Plumbing,CondensateWaterTank,Condensate Water Tank,Condensate Water Tank
Plumbing,WaterTreatmentPlant,Water Treatment Plant,Water Treatment Plant
Plumbing,WaterTreatmentPlant,Water Treatment Plant,Water Treatment Plant
Plumbing,WaterTreatmentPlant,Water Treatment Plant,Water Treatment Plant
Plumbing,WaterTreatmentPlant,Water Treatment Plant,Water Treatment Plant
Plumbing,ChemicalTreatment,Chemical Treatment,Chemical Treatment
Plumbing,ChemicalTreatment,Chemical Treatment,Chemical Treatment
Plumbing,ChemicalTreatment,Chemical Treatment,Chemical Treatment
Plumbing,ChemicalTreatment,Chemical Treatment,Chemical Treatment
Plumbing,WaterCirculationPump,Water Circulation Pump,Water Circulation Pump
Plumbing,WaterCirculationPump,Water Circulation Pump,Water Circulation Pump
Plumbing,WaterCirculationPump,Water Circulation Pump,Water Circulation Pump
Plumbing,WaterCirculationPump,Water Circulation Pump,Water Circulation Pump
Plumbing,WaterFiltrationSystem,Water Filtration System,Water Filtration System
Plumbing,WaterFiltrationSystem,Water Filtration System,Water Filtration System
Plumbing,WaterFiltrationSystem,Water Filtration System,Water Filtration System
Plumbing,WaterFiltrationSystem,Water Filtration System,Water Filtration System
Plumbing,SHCPHeater,SHCP Heater,SHCP Heater
Plumbing,SHCPHeater,SHCP Heater,SHCP Heater
Plumbing,SHCPHeater,SHCP Heater,SHCP Heater
Plumbing,SHCPHeater,SHCP Heater,SHCP Heater
Plumbing,FuelOilSystem,Fuel Oil System,Fuel Oil System
Plumbing,FuelOilSystem,Fuel Oil System,Fuel Oil System
Plumbing,FuelOilSystem,Fuel Oil System,Fuel Oil System
Plumbing,FuelOilSystem,Fuel Oil System,Fuel Oil System
Plumbing,Heater,Heater,Heater
Plumbing,Heater,Heater,Heater
Plumbing,Heater,Heater,Heater
Plumbing,Heater,Heater,Heater
Plumbing,PenstockValve,Penstock Valve,Penstock Valve
Plumbing,PenstockValve,Penstock Valve,Penstock Valve
Plumbing,PenstockValve,Penstock Valve,Penstock Valve
Plumbing,PenstockValve,Penstock Valve,Penstock Valve
Plumbing,FilterationPump,Filteration Pump,Filteration Pump
Plumbing,FilterationPump,Filteration Pump,Filteration Pump
Plumbing,FilterationPump,Filteration Pump,Filteration Pump
Plumbing,FilterationPump,Filteration Pump,Filteration Pump
Plumbing,IrrigationPumpCommon,Irrigation Pump Common,name
Plumbing,IrrigationPumpCommon,Irrigation Pump Common,name
Plumbing,IrrigationPumpCommon,Irrigation Pump Common,name
Plumbing,IrrigationPumpCommon,Irrigation Pump Common,name
Plumbing,IrrigationPump,Irrigation Pump,name
Plumbing,IrrigationPump,Irrigation Pump,name
Plumbing,IrrigationPump,Irrigation Pump,name
Plumbing,IrrigationPump,Irrigation Pump,name
Plumbing,GreaseInterceptorControlPanel,Grease Interceptor Control Panel,name
Plumbing,GreaseInterceptorControlPanel,Grease Interceptor Control Panel,name
Plumbing,GreaseInterceptorControlPanel,Grease Interceptor Control Panel,name
Plumbing,GreaseInterceptorControlPanel,Grease Interceptor Control Panel,name
Plumbing,OilInterceptorControlPanel,Oil Interceptor Control Panel,name
Plumbing,OilInterceptorControlPanel,Oil Interceptor Control Panel,name
Plumbing,OilInterceptorControlPanel,Oil Interceptor Control Panel,name
Plumbing,OilInterceptorControlPanel,Oil Interceptor Control Panel,name
Plumbing,GreaseWaterPumpCommon,Grease Water Pump Common,name
Plumbing,GreaseWaterPumpCommon,Grease Water Pump Common,name
Plumbing,GreaseWaterPumpCommon,Grease Water Pump Common,name
Plumbing,GreaseWaterPumpCommon,Grease Water Pump Common,name
Plumbing,GreaseWaterPump,Grease Water Pump,name
